height,lightning_nodes,lightning_channels,segwit_percentage,segwit_inputs,total_inputs,lightning_channels_funded
510499,643,3767,3.86,260,6743,5
510498,643,3767,0.83,55,6639,2
510497,643,3767,1.42,93,6537,12
510495,643,3767,2.07,133,6435,13
510493,643,3767,1.16,76,6546,9
510492,643,3767,0.09,6,6734,1
510491,643,3767,0.86,57,6591,18
510490,643,3767,0.30,20,6716,9
510486,642,3755,15.99,87,544,7
510485,642,3755,12.50,2,16,0
510480,642,3741,8.18,162,1980,9
510477,642,3741,16.20,690,4258,23
510473,642,3729,61.46,4057,6601,4
510472,642,3719,12.00,495,4125,0
510471,642,3719,16.00,816,5100,9
510469,641,3715,3.86,255,6603,2
510466,641,3715,11.85,638,5383,7
510466,641,3715,11.85,638,5383,7
510465,641,3715,14.54,728,5006,12
510465,641,3715,14.54,728,5006,12
510463,641,3713,5.09,306,6013,0
510462,641,3711,7.69,420,5459,2
510460,641,3709,3.96,242,6113,4
510459,641,3709,4.46,268,6008,4
510458,641,3709,10.46,601,5744,1
510457,641,3709,3.57,223,6254,7
510456,641,3709,31.37,2193,6990,5
510455,641,3709,24.96,1573,6301,4
510454,641,3709,7.05,412,5847,4
510453,641,3707,3.47,229,6595,2
510452,640,3691,10.51,645,6135,2
510451,640,3691,4.90,294,5998,4
510450,640,3691,7.64,460,6023,5
510449,639,3689,7.34,458,6241,6
510448,639,3687,10.06,589,5853,5
510447,639,3687,8.61,506,5875,7
510446,639,3687,7.02,412,5870,1
510445,639,3687,4.59,278,6060,3
510444,639,3687,7.89,445,5639,6
510443,639,3687,4.01,240,5988,2
510442,639,3687,13.29,773,5818,4
510441,639,3687,0.00,0,1,0
510439,639,3681,9.32,537,5762,6
510439,639,3681,9.32,537,5762,6
510438,639,3681,25.84,1377,5328,2
510437,639,3681,6.65,376,5654,2
510436,639,3679,8.06,455,5646,9
510435,639,3679,6.86,388,5652,5
510433,638,3675,5.33,324,6077,4
510432,637,3673,13.41,790,5890,2
510431,637,3673,6.66,380,5703,3
510430,637,3673,16.30,864,5300,2
510429,637,3673,9.53,533,5592,12
510428,637,3673,15.72,795,5057,10
510427,637,3671,10.89,544,4995,7
510426,637,3667,16.05,865,5391,12
510425,637,3667,13.96,718,5144,5
510424,637,3667,20.70,1099,5310,21
510421,634,3657,9.76,160,1639,8
510420,634,3655,4.77,86,1803,1
510419,634,3655,11.98,628,5241,7
510418,634,3655,13.87,634,4571,2
510417,634,3655,10.14,525,5177,3
510413,634,3653,4.45,102,2291,0
510412,634,3653,12.26,674,5497,9
510411,634,3653,11.84,557,4703,12
510410,634,3653,12.95,487,3760,11
510408,634,3653,11.98,573,4783,13
510407,634,3653,11.80,55,466,0
510406,634,3653,7.59,12,158,0
510405,634,3653,24.95,135,541,1
510403,634,3653,11.36,307,2703,3
510401,634,3653,18.87,935,4954,14
510400,634,3653,31.45,1582,5031,2
510399,634,3653,42.71,639,1496,0
510397,634,3653,20.76,652,3140,5
510397,634,3653,20.76,652,3140,5
510396,634,3651,51.85,1234,2380,2
510395,634,3651,5.56,6,108,0
510393,634,3651,15.55,696,4476,11
510393,634,3651,15.55,696,4476,11
510392,634,3651,9.48,22,232,2
510391,634,3651,12.38,596,4813,6
510390,634,3651,14.45,827,5723,15
510389,634,3651,7.65,432,5646,1
510388,634,3649,5.22,285,5464,6
510386,634,3649,11.53,627,5439,4
510384,634,3649,0.72,40,5535,0
510382,634,3649,17.42,165,947,7
510382,634,3649,17.42,165,947,7
510381,634,3649,13.10,683,5212,7
510378,634,3647,12.51,475,3797,6
510377,634,3647,11.95,146,1222,7
510376,634,3647,19.72,315,1597,3
510374,634,3647,12.16,9,74,1
510372,634,3647,54.37,884,1626,2
510372,634,3647,54.37,884,1626,2
510368,634,3645,12.81,173,1350,2
510367,632,3641,8.98,71,791,3
510366,632,3641,20.45,64,313,3
510364,632,3641,16.57,210,1267,7
510362,632,3641,8.74,101,1156,4
510359,632,3641,26.59,1639,6163,3
510358,632,3641,12.85,740,5759,6
510357,632,3641,9.16,357,3896,2
510354,632,3641,8.85,23,260,1
510353,632,3641,1.89,66,3483,5
510351,632,3641,0.84,30,3583,1
510350,632,3641,6.32,240,3795,10
510349,632,3641,14.22,597,4198,0
510347,632,3641,5.47,202,3693,5
510345,632,3641,5.03,193,3837,9
510341,632,3639,0.21,7,3391,0
510338,632,3639,16.61,622,3745,4
510336,632,3639,4.03,151,3746,5
510335,632,3637,3.48,128,3678,4
510334,632,3637,10.58,435,4113,16
510333,632,3637,12.86,535,4160,2
510330,632,3637,4.67,178,3808,10
510329,632,3637,8.44,338,4006,16
510328,632,3637,6.45,230,3566,3
510326,632,3637,4.08,145,3551,5
510326,632,3637,4.08,145,3551,5
510325,632,3637,1.49,51,3419,1
510323,632,3637,2.03,73,3597,1
510321,632,3633,0.55,19,3483,3
510317,631,3631,17.85,756,4235,6
510317,631,3631,17.85,756,4235,6
510314,631,3629,7.17,310,4323,10
510313,631,3629,6.75,248,3673,4
510312,630,3619,100.00,1,1,0
510310,630,3619,14.73,675,4583,4
510308,630,3619,4.70,185,3939,8
510306,630,3617,8.77,426,4858,7
510305,630,3617,11.70,565,4831,6
510304,630,3617,11.91,197,1654,2
510303,627,3609,2.14,76,3549,2
510302,627,3609,3.65,146,4001,1
510301,627,3609,7.08,290,4096,2
510300,627,3609,13.05,601,4606,6
510299,627,3607,12.70,650,5120,9
510298,627,3607,11.50,468,4069,1
510297,627,3605,8.81,386,4381,5
510296,627,3605,8.21,401,4882,4
510295,627,3605,18.06,1054,5835,1
510294,627,3605,13.04,441,3382,5
510293,627,3605,11.83,629,5316,5
510292,627,3605,15.28,227,1486,4
510291,627,3605,2.95,184,6246,1
510290,627,3603,4.00,254,6347,3
510289,627,3603,1.20,78,6514,1
510288,626,3599,4.80,203,4232,1
